5 Stars,1 Star,En_Category,Install_con,Cleaned_Name,Rate
76,11,mzhby,100000,ترتیل,4
89,2,mzhby,500000,زیارت,4
0,0,mzhby,10,دعای,0
100,0,mzhby,1000,احکام,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,زیارت,0
100,0,mzhby,100,حادم,5
100,0,mzhby,10,مرقد,5
0,0,mzhby,10,دعای,0
100,0,mzhby,10,حرم,5
81,3,mzhby,10000,ذکرگو,4
100,0,mzhby,10,پس,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
100,0,mzhby,10,آیت,5
100,0,mzhby,10,پس,5
0,0,mzhby,10,قلم,0
100,0,mzhby,10,زیارت,5
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
84,5,آmvzsh,100000,بيا,4
93,2,mzhby,20000,از,4
0,0,mzhby,10,قلم,0
0,0,mzhby,10,بارگاه,0
0,0,mzhby,10,قلم,0
97,1,mzhby,2000,زندگی,5
0,0,mzhby,10,زیارت,0
0,0,mzhby,10,حرزابی,0
80,0,mzhby,50,قلم,4
100,0,mzhby,10,سوره,5
100,0,mzhby,50,جان,5
0,0,mzhby,10,قلم,0
100,0,mzhby,10,حجاب,5
0,0,mzhby,10,قلم,0
0,0,mzhby,10,زیارت,0
86,2,mzhby,10000,تحدیر,4
94,0,mzhby,1000,حدیث,4
0,0,mzhby,10,دعای,0
74,8,mzhby,500000,مفاتیح,4
0,0,mzhby,10,میکروفن,0
60,40,mzhby,100,دعای,3
100,0,mzhby,10,هشتمین,5
78,6,mzhby,20000,دعاها,4
84,3,mzhby,10000,ترتیل,4
0,0,mzhby,10,قلم,0
77,5,mzhby,10000,حفظ,4
71,12,mzhby,2000,آموزش,4
100,0,mzhby,50,زیارت,5
79,3,mzhby,500000,تقویم,4
0,0,mzhby,10,قلم,0
85,3,mzhby,100000,تفسیر,4
100,0,mzhby,10,پس,5
0,0,mzhby,10,دعای,0
89,0,mzhby,10000,40,4
94,0,mzhby,2000,علوم,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,زیارت,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
71,12,mzhby,20000,راهنمای,4
78,6,mzhby,5000,بحارالاشعار,4
100,0,mzhby,10,ضریح,5
0,0,mzhby,10,قلم,0
86,2,mzhby,50000,ذکر,4
91,2,mzhby,200000,زیارت,4
0,0,mzhby,10,دعای,0
100,0,mzhby,100,سقاخانه,5
0,0,mzhby,10,قلم,0
89,2,mzhby,200000,دعای,4
100,0,mzhby,10,ضریح,5
0,0,mzhby,10,قلم,0
0,0,mzhby,10,قلم,0
80,4,abzarha,1000000,تقویم,4
0,0,mzhby,10,مناجات,0
0,0,mzhby,10,قلم,0
88,2,mzhby,10000,ترتیل,4
88,3,mzhby,20000,دعا,4
100,0,mzhby,10,دعای,5
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,دعای,0
100,0,mzhby,10,شمارش,5
100,0,mzhby,10,قلم,5
0,0,mzhby,10,دعای,0
100,0,mzhby,10,دعای,5
80,5,mzhby,10000,قلم,4
0,0,mzhby,10,قلم,0
100,0,mzhby,10,دعای,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
100,0,mzhby,10,اپلیکیشن,5
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
79,8,mzhby,50000,هیئت,4
100,0,mzhby,50,آیت,5
87,2,mzhby,200000,زیارت,4
0,0,mzhby,10,مناجات,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
0,0,mzhby,10,دعای,0
0,0,mzhby,10,قلم,0
